"VAD2-29_O_L_6";"VAD2-14_O_L_6";"VAD2-15_O_L_6";"VAD2-44_O_L_6";"VAD2-45_O_L_24";"VAD2-26_O_L_24";"VAD2-28_O_L_24";"VAD2-25_O_L_24";"VAD2-22_O_L_72";"VAD2-17_O_L_72";"VAD2-48_O_L_72";"VAD2-33_O_L_72";"VAD2-47_O_L_144";"VAD2-18_O_L_144";"VAD2-35_O_L_144";"VAD2-23_O_L_144";"MDV1-50_O_L_6";"MDV1-15_O_L_6";"MDV1-23_O_L_6";"MDV1-13_O_L_6";"MDV1-44_O_L_24";"MDV1-16_O_L_24";"MDV1-41_O_L_24";"MDV1-33_O_L_24";"MDV1-31_O_L_72";"MDV1-46_O_L_72";"MDV1-18_O_L_72";"MDV1-49_O_L_72";"MDV1-24_O_L_144";"MDV1-9_O_L_144";"MDV1-12_O_L_144";"MDV1-45_O_L_144";"MDV2.3-21_O_L_6";"MDV2.3-18_O_L_6";"MDV2.3-33_O_L_6";"MDV2.3-49_O_L_6";"MDV2.3-17_O_L_24";"MDV2.3-45_O_L_24";"MDV2.3-13_O_L_24";"MDV2.3-30_O_L_24";"MDV2.3-44_O_L_72";"MDV2.3-28_O_L_72";"MDV2.3-32_O_L_72";"MDV2.3-15_O_L_72";"MDV2.3-26_O_L_144";"MDV2.3-19_O_L_144";"MDV2.3-50_O_L_144";"MDV2.3-46_O_L_144"
"gene_1";0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;5
"gene_2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gene_4";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"gene_5";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_6";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;3;0;0;0
"gene_7";0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_8";0;1;2;0;2;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;4;0;0;0;0;0;1;0;1;0;1;0;0;0;2;0;0;0;0
"gene_9";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"gene_10";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_11";3;1;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;4;0;1;0;0;1;0;0;0;0;0;0;1
"gene_12";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_13";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
